Symbol,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,marketCap,priceToSalesTrailing12Months,trailingAnnualDividendRate,trailingAnnualDividendYield,enterpriseValue,profitMargins,dateShortInterest,shortRatio,shortPercentOfFloat,bookValue,priceToBook,netIncomeToCommon,trailingEps,forwardEps,enterpriseToRevenue,enterpriseToEbitda,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins
MMM,2.8,0.0221,1724630400.0,0.4589,4.36,0.995,12.98127,15.751263,68707180544.0,2.1051285,4.41,0.034869928,75495325696.0,0.13451,1727654400.0,1.91,0.0134000005,8.524,14.635147,5321999872.0,9.61,7.92,2.313,10.311,7295000064.0,13.396,7321999872.0,13868000256.0,0.95,1.431,32637999104.0,295.441,58.972,0.07934,1.1329399,2634249984.0,1987000064.0,0.004,0.45067,0.22434,0.21433
AOS,1.36,0.0176,1730332800.0,0.3377,1.74,1.149,20.282322,18.748781,11140000768.0,2.8609586,1.28,0.016550297,11101549568.0,0.14413,1727654400.0,2.49,0.0209,13.219,5.815115,561200000.0,3.79,4.1,2.851,13.721,255600000.0,1.763,809100032.0,143200000.0,0.964,1.673,3893799936.0,7.471,26.508,0.14337,0.29544002,402624992.0,591200000.0,-0.037,0.38209,0.20778999,0.17793
ABT,2.2,0.0189,1728950400.0,0.65650004,1.64,0.722,34.717327,22.13566,199532052480.0,4.8410134,2.2,0.018877639,210635685888.0,0.13992,1727654400.0,2.44,0.0068,22.598,5.0544295,5744999936.0,3.29,5.16,5.11,19.795,7218999808.0,4.149,10641000448.0,14844999680.0,,,41216999424.0,37.525,23.698,,,,,0.049,0.55717,0.25817,0.17546
ABBV,6.2,0.0327,1728950400.0,2.0268,4.19,0.618,62.61667,15.563381,331806965760.0,6.032854,6.13,0.0323227,392811085824.0,0.09707,1727654400.0,3.15,0.0084,3.838,48.944763,5297999872.0,3.0,12.07,7.142,15.038,13157000192.0,7.449,26121000960.0,70938001408.0,0.594,0.807,54999998464.0,1039.994,31.1,0.07936,0.54262,19637499904.0,18638000128.0,0.043,0.6966,0.47493,0.3456
ACN,5.92,0.0163,1728518400.0,0.45099998,1.34,1.239,31.538462,25.643211,229409259520.0,3.5350041,5.35,0.014688521,227581460480.0,0.111940004,1727654400.0,2.4,0.0095999995,45.242,7.97489,7264786944.0,11.44,14.07,3.507,20.566,5009865216.0,8.018,11065912320.0,4120549120.0,0.984,1.099,64896462848.0,14.127,103.363,0.11627,0.26674998,7641968128.0,9131027456.0,0.026,0.32609,0.17052001,0.14597
ADBE,,,1111622400.0,,0.12,1.289,40.889263,23.538687,213885992960.0,10.210817,,,211122372608.0,0.25588,1727654400.0,1.85,0.0148,32.685,14.799449,5360000000.0,11.83,20.55,10.079,25.956,7514999808.0,17.072,8134000128.0,6078000128.0,0.966,1.111,20946999296.0,41.788,46.482,0.15969,0.35355,6618500096.0,6732000256.0,0.106,0.88657,0.38831002,0.36834
AMD,,,798940800.0,,,1.695,185.9881,28.666056,252855123968.0,10.863341,,,245244854272.0,0.05817,1727654400.0,1.36,0.0277,34.943,4.4709954,1354000000.0,0.84,5.45,10.536,60.614,5340000256.0,3.299,4046000128.0,2244999936.0,1.794,2.819,23275999232.0,3.971,14.399,0.00801,0.024249999,2112999936.0,1916000000.0,0.089,0.51418,0.17382999,0.0461
AES,0.69,0.040599998,1730419200.0,0.6446,3.06,1.07,16.15238,8.193236,12128281600.0,0.9758051,0.683,0.040223796,44183494656.0,0.06066,1727654400.0,2.89,0.0582,4.348,3.9006438,747000000.0,1.05,2.07,3.555,12.613,1834000000.0,2.58,3503000064.0,29106999296.0,0.34,0.973,12428999680.0,367.049,18.158,0.03229,-0.01717,-7424999936.0,2526000128.0,-0.028,0.2079,0.28184,0.16451
AFL,2.0,0.0179,1724198400.0,0.19389999,2.36,0.949,11.564805,15.436006,61534187520.0,3.1876392,1.84,0.016427105,65662545920.0,0.28340998,1727654400.0,4.32,0.0208,46.399,2.3653529,5471000064.0,9.49,7.11,3.401,10.104,9440000000.0,16.856,6498500096.0,12373999616.0,1.263,1.411,19303999488.0,47.506,33.394,0.03229,0.23538,5469125120.0,2961999872.0,-0.007,0.4957,0.33664,0.40269002
A,0.94,0.0072000003,1727740800.0,0.19399999,0.66,1.055,27.066528,23.042479,38076932096.0,5.8606944,0.933,0.0071390313,38887854080.0,0.21747999,1727654400.0,2.01,0.0123000005,20.53,6.3414516,1412999936.0,4.81,5.65,5.986,24.864,1779000064.0,6.192,1564000000.0,3116000000.0,1.258,1.781,6496999936.0,52.787,22.269,0.07579,0.24658,879500032.0,1786000000.0,-0.056,0.54394,0.24073,0.24968
