Symbol,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,currentPrice
MMM,2.0,126.47,126.6,124.5,127.04,126.47,126.6,124.5,127.04,3768082.0,3768082.0,4362668.0,4714230.0,4714230.0,124.68,124.75,800.0,800.0,72.71739,141.34,132.8956,104.51384,0.7282692,0.41106093,0.7,1724630400.0,124.75
AOS,2.0,77.34,77.37,76.66,78.1099,77.34,77.37,76.66,78.1099,822041.0,822041.0,983465.0,1406100.0,1406100.0,76.83,77.0,800.0,800.0,67.46,92.45,82.4616,83.37675,0.14053977,0.41106093,0.32,1722384000.0,76.87
ABT,2.0,116.54,116.145,113.1964,116.39,116.54,116.145,113.1964,116.39,5981653.0,5981653.0,5433623.0,5391780.0,5391780.0,114.43,114.25,900.0,900.0,91.64,121.64,114.5228,110.5439,0.2551427,0.41106093,0.55,1728950400.0,114.22
ABBV,2.0,189.65,189.68,187.17,189.88,189.65,189.68,187.17,189.88,3175612.0,3175612.0,4696989.0,4846870.0,4846870.0,187.0,189.88,900.0,900.0,135.85,199.95,194.0842,176.9366,0.36507595,0.41106093,1.55,1728950400.0,187.85
ACN,2.0,364.23,364.0,359.5911,365.445,364.23,364.0,359.5911,365.445,2129291.0,2129291.0,2225353.0,2060870.0,2060870.0,360.22,360.4,900.0,900.0,278.69,387.51,349.2328,335.562,0.25579226,0.41106093,1.48,1728518400.0,360.8
ADBE,2.0,482.87,483.42,482.52,488.3027,482.87,483.42,482.52,488.3027,2407435.0,2407435.0,2646984.0,2483790.0,2483790.0,,,,,433.97,638.25,531.0188,530.4454,-0.04969299,0.41106093,0.0065,1111622400.0,483.72
AMD,2.0,153.44,155.31,155.085,158.91,153.44,155.31,155.085,158.91,29452139.0,29452139.0,41764850.0,31825060.0,31825060.0,,,,,94.07,227.3,154.883,162.93735,0.5912061,0.41106093,,,156.23
AES,2.0,16.98,17.09,16.9,17.22,16.98,17.09,16.9,17.22,6763660.0,6763660.0,8136353.0,8077150.0,8077150.0,16.96,17.08,2900.0,2900.0,14.53,22.21,17.9952,17.7927,0.15118647,0.41106093,0.173,1722470400.0,16.96
AFL,2.0,112.01,112.01,108.9846,112.23,112.01,112.01,108.9846,112.23,2135370.0,2135370.0,2269037.0,1570360.0,1570360.0,108.63,110.31,800.0,800.0,75.08,115.5,110.0672,92.31785,0.46437442,0.41106093,0.5,1724198400.0,109.75
A,2.0,130.69,131.18,129.35,131.71,130.69,131.18,129.35,131.71,1243514.0,1243514.0,1489635.0,1521020.0,1521020.0,125.0,130.5,800.0,800.0,96.8,155.35,140.6654,138.36314,0.27167463,0.41106093,0.236,1727740800.0,130.19
APD,2.0,322.1,322.75,317.89,321.67,322.1,322.75,317.89,321.67,1155510.0,1155510.0,1291151.0,1280670.0,1280670.0,317.0,321.81,1000.0,800.0,212.24,332.43,293.6454,262.32584,0.16639507,0.41106093,1.77,1727740800.0,318.02
ABNB,2.0,132.75,133.38,133.17,135.28,132.75,133.38,133.17,135.28,2507359.0,2507359.0,4589567.0,2985920.0,2985920.0,,,,,110.38,170.1,124.6332,143.64203,0.16355515,0.41106093,,,134.58
AKAM,2.0,102.8,103.35,101.5741,103.67,102.8,103.35,101.5741,103.67,847603.0,847603.0,1434976.0,1335630.0,1335630.0,,,,,87.59,129.17,100.9438,102.6018,0.0077443123,0.41106093,,,101.97
ALB,2.0,95.15,95.24,93.1,96.19,95.15,95.24,93.1,96.19,1801954.0,1801954.0,2924048.0,2239380.0,2239380.0,93.43,94.8,900.0,900.0,71.97,153.54,90.8396,108.0667,-0.29224932,0.41106093,0.405,1726185600.0,93.51
ARE,2.0,116.35,116.2,112.98,116.9,116.35,116.2,112.98,116.9,1214707.0,1214707.0,1107718.0,1470250.0,1470250.0,112.58,115.5,800.0,800.0,90.73,135.45,119.1172,120.01945,0.26936507,0.41106093,1.3,1727654400.0,113.02
ALGN,2.0,216.42,222.5,218.52,226.72,216.42,222.5,218.52,226.72,1130612.0,1130612.0,786895.0,1154090.0,1154090.0,,,,,176.34,335.4,233.7888,264.96985,0.13344502,0.41106093,,,219.3
ALLE,2.0,145.27,145.95,142.6,146.125,145.27,145.95,142.6,146.125,1144166.0,1144166.0,719867.0,931140.0,931140.0,137.38,144.78,1000.0,1000.0,95.97,156.1,141.9916,129.8624,0.49101925,0.41106093,0.48,1726790400.0,142.6
LNT,2.0,61.91,62.13,60.68,62.14,61.91,62.13,60.68,62.14,899644.0,899644.0,1260956.0,1264990.0,1264990.0,,,,,46.8,62.49,59.6124,52.86255,0.2652769,0.41106093,0.48,1722384000.0,60.74
ALL,2.0,192.0,192.0,187.94,193.12,192.0,192.0,187.94,193.12,1153953.0,1153953.0,1468753.0,1337840.0,1337840.0,185.57,191.77,900.0,900.0,122.53,198.79,187.7958,170.18996,0.55717766,0.41106093,0.92,1724976000.0,188.12
GOOGL,2.0,162.72,163.67,163.42,165.59,162.72,163.67,163.42,165.59,19202678.0,19202678.0,24237060.0,19041580.0,19041580.0,,,,,120.21,191.75,161.8582,161.0478,0.33191454,0.41106093,0.2,1725840000.0,165.27
GOOG,2.0,164.53,165.365,165.23,167.4,164.53,165.365,165.23,167.4,14224995.0,14224995.0,16904714.0,12278510.0,12278510.0,,,,,121.46,193.31,163.268,162.49236,0.3333063,0.41106093,0.2,1725840000.0,166.99
MO,2.0,49.94,49.99,49.585,50.105,49.94,49.99,49.585,50.105,5299633.0,5299633.0,7912823.0,5462110.0,5462110.0,49.61,49.69,900.0,800.0,39.19,54.95,51.3904,46.04095,0.2707379,0.41106093,1.02,1726444800.0,49.71
AMZN,2.0,186.38,187.85,187.53,190.45,186.38,187.85,187.53,190.45,28807294.0,28807294.0,37625334.0,27430870.0,27430870.0,,,,,125.52,201.2,183.2682,179.47675,0.45905745,0.41106093,,,187.83
